mpi_procs;grid_tiles_x;grid_tiles_y;omp_threads;domain_size;n_iterations;disk_write_intensity;airflow;material_file;output_file;simulation_mode;middle_col_avg_temp;total_time;iteration_time
2;2;1;16;512;39062;50;0.001;input_data_512.h5;/scratch/project/atr-25-7/ramsay/1963455/512x512_out_hybrid_1d_par.h5;par;45.581886;2.1219712967285886;5.432316053270669e-05
2;2;1;16;512;39062;50;0.001;input_data_512.h5;/scratch/project/atr-25-7/ramsay/1963455/512x512_out_hybrid_1d_par.h5;par;45.581886;4.268634479492903;0.00010927844143906874
2;2;1;16;512;39062;50;0.001;input_data_512.h5;;par;45.581886;1.3515963015379384;3.460130821611639e-05
2;2;1;16;512;39062;50;0.001;input_data_512.h5;/scratch/project/atr-25-7/ramsay/1963455/512x512_out_hybrid_1d_par.h5;par;45.581886;2.21679371711798;5.675064556648354e-05
2;2;1;16;512;39062;50;0.001;input_data_512.h5;/scratch/project/atr-25-7/ramsay/1963455/512x512_out_hybrid_1d_par.h5;par;45.581886;4.45782750856597;0.00011412184497890456
2;2;1;16;1024;19531;50;0.001;input_data_1024.h5;;par;29.214909;1.7604665409307927;9.01370406497769e-05
2;2;1;16;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/atr-25-7/ramsay/1963455/1024x1024_out_hybrid_1d_par.h5;par;29.214909;3.2440895723411813;0.00016609951217762435
2;2;1;16;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/atr-25-7/ramsay/1963455/1024x1024_out_hybrid_1d_par.h5;par;29.214909;4.81165528181009;0.0002463599038354457
2;2;1;16;1024;19531;50;0.001;input_data_1024.h5;;par;29.214909;1.832171143265441;9.38083632822406e-05
2;2;1;16;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/atr-25-7/ramsay/1963455/1024x1024_out_hybrid_1d_par.h5;par;29.214909;3.2772454934893176;0.00016779711706975156
2;2;1;16;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/atr-25-7/ramsay/1963455/1024x1024_out_hybrid_1d_par.h5;par;29.214909;4.960769555065781;0.0002539946523509181
2;2;1;16;2048;9765;50;0.001;input_data_2048.h5;;par;23.292988;3.1271894371602684;0.00032024469402562914
2;2;1;16;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/atr-25-7/ramsay/1963455/2048x2048_out_hybrid_1d_par.h5;par;23.292988;6.540382832987234;0.000669778067894238
2;2;1;16;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/atr-25-7/ramsay/1963455/2048x2048_out_hybrid_1d_par.h5;par;23.292988;9.93628956458997;0.001017541174049152
2;2;1;16;2048;9765;50;0.001;input_data_2048.h5;;par;23.292988;3.3711614162893966;0.00034522902368555006
2;2;1;16;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/atr-25-7/ramsay/1963455/2048x2048_out_hybrid_1d_par.h5;par;23.292988;6.421925927861594;0.0006576473044405113
2;2;1;16;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/atr-25-7/ramsay/1963455/2048x2048_out_hybrid_1d_par.h5;par;23.292988;12.137028357596137;0.0012429112501378531
2;2;1;16;4096;4882;50;0.001;input_data_4096.h5;;par;21.17147;8.270733390003443;0.001694128101188743
2;2;1;16;4096;4882;50;0.001;input_data_4096.h5;/scratch/project/atr-25-7/ramsay/1963455/4096x4096_out_hybrid_1d_par.h5;par;21.17147;14.452918998314999;0.0029604504298064317
2;2;1;16;4096;4882;50;0.001;input_data_4096.h5;/scratch/project/atr-25-7/ramsay/1963455/4096x4096_out_hybrid_1d_par.h5;par;21.17147;23.98284166166559;0.004912503412877015
2;2;1;16;4096;4882;50;0.001;input_data_4096.h5;;par;21.17147;8.256307499948889;0.0016911731872078838
2;2;1;16;4096;4882;50;0.001;input_data_4096.h5;/scratch/project/atr-25-7/ramsay/1963455/4096x4096_out_hybrid_1d_par.h5;par;21.17147;14.252096189651638;0.002919315073668914
2;2;1;16;4096;4882;50;0.001;input_data_4096.h5;/scratch/project/atr-25-7/ramsay/1963455/4096x4096_out_hybrid_1d_par.h5;par;21.17147;25.173059821827337;0.005156300659940053
4;4;1;16;256;78125;50;0.001;input_data_256.h5;;par;83.8102;2.0208579937461764;2.586698231995106e-05
4;4;1;16;256;78125;50;0.001;input_data_256.h5;/scratch/project/atr-25-7/ramsay/1963455/256x256_out_hybrid_1d_par.h5;par;83.8102;2.57905233069323;3.3011869832873345e-05
4;4;1;16;256;78125;50;0.001;input_data_256.h5;/scratch/project/atr-25-7/ramsay/1963455/256x256_out_hybrid_1d_par.h5;par;83.8102;15.170078547787853;0.00019417700541168452
4;4;1;16;256;78125;50;0.001;input_data_256.h5;;par;83.8102;2.3905569806229323;3.059912935197353e-05
4;4;1;16;256;78125;50;0.001;input_data_256.h5;/scratch/project/atr-25-7/ramsay/1963455/256x256_out_hybrid_1d_par.h5;par;83.8102;3.008652356918901;3.8510750168561936e-05
4;4;1;16;256;78125;50;0.001;input_data_256.h5;/scratch/project/atr-25-7/ramsay/1963455/256x256_out_hybrid_1d_par.h5;par;83.8102;17.848122749710456;0.00022845597119629382
4;4;1;16;512;39062;50;0.001;input_data_512.h5;;par;45.581886;1.5370903190923855;3.935001584896793e-05
4;4;1;16;512;39062;50;0.001;input_data_512.h5;/scratch/project/atr-25-7/ramsay/1963455/512x512_out_hybrid_1d_par.h5;par;45.581886;2.378589269355871;6.089266472161873e-05
4;4;1;16;512;39062;50;0.001;input_data_512.h5;/scratch/project/atr-25-7/ramsay/1963455/512x512_out_hybrid_1d_par.h5;par;45.581886;22.875715863658115;0.0005856258221201709
4;4;1;16;512;39062;50;0.001;input_data_512.h5;;par;45.581886;1.6278428111691028;4.167330938428915e-05
4;4;1;16;512;39062;50;0.001;input_data_512.h5;/scratch/project/atr-25-7/ramsay/1963455/512x512_out_hybrid_1d_par.h5;par;45.581886;2.469273600494489;6.321421331458935e-05
4;4;1;16;512;39062;50;0.001;input_data_512.h5;/scratch/project/atr-25-7/ramsay/1963455/512x512_out_hybrid_1d_par.h5;par;45.581886;18.35251774545759;0.00046983046811370613
4;4;1;16;1024;19531;50;0.001;input_data_1024.h5;;par;29.214909;1.4727450270438567;7.540551057518082e-05
4;4;1;16;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/atr-25-7/ramsay/1963455/1024x1024_out_hybrid_1d_par.h5;par;29.214909;2.7592762501444668;0.00014127675234982677
4;4;1;16;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/atr-25-7/ramsay/1963455/1024x1024_out_hybrid_1d_par.h5;par;29.214909;12.181154059711844;0.0006236830710005552
4;4;1;16;1024;19531;50;0.001;input_data_1024.h5;;par;29.214909;1.4799058663193136;7.577215023907192e-05
4;4;1;16;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/atr-25-7/ramsay/1963455/1024x1024_out_hybrid_1d_par.h5;par;29.214909;2.85200340510346;0.00014602444345417336
4;4;1;16;1024;19531;50;0.001;input_data_1024.h5;/scratch/project/atr-25-7/ramsay/1963455/1024x1024_out_hybrid_1d_par.h5;par;29.214909;12.657091791625135;0.0006480513947890602
4;4;1;16;2048;9765;50;0.001;input_data_2048.h5;;par;23.292988;1.9695937790675089;0.0002016993117324638
4;4;1;16;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/atr-25-7/ramsay/1963455/2048x2048_out_hybrid_1d_par.h5;par;23.292988;4.836290439940058;0.0004952678381915062
4;4;1;16;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/atr-25-7/ramsay/1963455/2048x2048_out_hybrid_1d_par.h5;par;23.292988;37.28221287066117;0.003817942946304267
4;4;1;16;2048;9765;50;0.001;input_data_2048.h5;;par;23.292988;2.0074051521951333;0.00020557144415720772
4;4;1;16;2048;9765;50;0.001;input_data_2048.h5;/scratch/project/atr-25-7/ramsay/1963455/2048x2048_out_hybrid_1d_par.h5;par;23.292988;4.9711600536247715;0.0005090793705708932
