mpi_procs;grid_tiles_x;grid_tiles_y;omp_threads;domain_size;n_iterations;disk_write_intensity;airflow;material_file;output_file;simulation_mode;middle_col_avg_temp;total_time;iteration_time
1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.28116;2.729837480932474;0.0003494415618193131
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/atr-25-7/ramsay/1959257/256x256_out_hybrid_1d_seq.h5;seq;43.28116;2.770402744412422;0.00035463424787665415
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/atr-25-7/ramsay/1959257/256x256_out_hybrid_1d_seq.h5;seq;43.28116;2.7683130130171776;0.00035436674513788754
1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.28116;2.7309779785573483;0.0003495875548588515
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/atr-25-7/ramsay/1959257/256x256_out_hybrid_1d_seq.h5;seq;43.28116;2.7683854922652245;0.0003543760230754256
1;1;1;1;256;7812;50;0.001;input_data_256.h5;/scratch/project/atr-25-7/ramsay/1959257/256x256_out_hybrid_1d_seq.h5;seq;43.28116;2.766687072813511;0.0003541586114712636
1;1;1;1;512;3906;50;0.001;input_data_512.h5;;seq;28.379347;5.478301554918289;0.001402534960296541
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/atr-25-7/ramsay/1959257/512x512_out_hybrid_1d_seq.h5;seq;28.379347;5.536567512899637;0.0014174520002303219
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/atr-25-7/ramsay/1959257/512x512_out_hybrid_1d_seq.h5;seq;28.379347;5.534981537610292;0.0014170459645699673
1;1;1;1;512;3906;50;0.001;input_data_512.h5;;seq;28.379347;5.476731985807419;0.001402133124886692
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/atr-25-7/ramsay/1959257/512x512_out_hybrid_1d_seq.h5;seq;28.379347;5.534458342939615;0.001416912018161704
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/atr-25-7/ramsay/1959257/512x512_out_hybrid_1d_seq.h5;seq;28.379347;5.535905469208956;0.0014172825061978893
